Jurisdictional Reference,Type,Description
"Special Marriage Act,1954,Section no 22",Family,"(1) The Central Government may, by notification in the Official Gazette, make rules to carry out the purposes of this Act."
"Special Marriage Act,1954,Section no 23",Family,"(1) All rules made under this Act shall be published in the Official Gazette, and shall thereupon have effect as if enacted in this Act."
"Special Marriage Act,1954,Section no 25",Family,"Any marriage celebrated, whether before or after the commencement of this Act, other than a marriage solemnized under the Special Marriage Act, 1872 (3 of 1872), may be registered under this Chapter by a Marriage Officer in the territories to which this Act extends if the following conditions are fulfilled, namely: - (a) a ceremony of marriage has been performed between the parties and they have been living together as husband and wife ever since."
"Dowry Prohibition Act,1961,Section no 2",Family,"In this Act, ""dowry"" means any property or valuable security given or agreed to be given either directly or indirectly - (a) by one party to a marriage to the other party to the marriage; or (b) by the parents of either party to a marriage or by any other person, to either party to the marriage or to any other person."
"Dowry Prohibition Act,1961,Section no 3",Family,"It extends to the whole of India except the State of Jammu and Kashmir and it applies, in the first instance, to all persons belonging to the Hindu, Buddhist, Sikh and Jain religions."
"Dowry Prohibition Act,1961,Section no 4",Family,"If any person demands, directly or indirectly, from the parents or other relatives or guardian of a bride or bridegroom, as the case may be, any dowry, he shall be punishable with imprisonment for a term which shall not be less than six months, but which may extend to two years and with fine which may extend to ten thousand rupees:"
"Dowry Prohibition Act,1961,Section no 6",Family,"(1) If any person, after the commencement of this Act, gives or takes or abets the giving or taking of dowry, he shall be punishable with imprisonment for a term which shall not be less than five years, and with fine which shall not be less than fifteen thousand rupees or the amount of the value of such dowry, whichever is more:"
"Dowry Prohibition Act,1961,Section no 7",Family,"(1) Not withstanding anything contained in the Code of Criminal Procedure, 1973 (2 of 1974), an offence under this Act shall be cognizable and non-bailable."
"Dowry Prohibition Act,1961,Section no 8",Family,"Not withstanding anything contained in the Code of Criminal Procedure, 1973 (2 of 1974), - (a) no court inferior to that of a Metropolitan Magistrate or a Judicial Magistrate of the first class shall try any offence under this Act."
"Protection of Women from Domestic Violence Act,2005,Section no 3",Family,"(a) """"aggrieved person"""" means any woman who is, or has been, in a domestic relationship with the respondent and who alleges to have been subjected to any act of domestic violence by the respondent;"
"Protection of Women from Domestic Violence Act,2005,Section no 4",Family,"(1) Any person who has reason to believe that an act of domestic violence has been, or is being, or is likely to be committed, may give information about it to the concerned Protection Officer. (2) No liability, civil or criminal, shall be incurred by any person for giving in good faith information for the purpose of sub-section (1)."
"Protection of Women from Domestic Violence Act,2005,Section no 5",Family,"For the purposes of this Act, any act, omission or commission or conduct of the respondent shall constitute domestic violence in case it - (a) harms or injures or endangers the health, safety, life, limb or well-being, whether mental or physical, of the aggrieved person or tends to do so and includes causing physical abuse, sexual abuse, verbal and emotional abuse and economic abuse;"
"Protection of Women from Domestic Violence Act,2005,Section no 6",Family,(1) An aggrieved person or a Protection Officer or any other person on behalf of the aggrieved person may present an application to the Magistrate seeking one or more reliefs under this Act:
"Protection of Women from Domestic Violence Act,2005,Section no 8",Family,"(1) For the purposes of providing immediate relief to the aggrieved person, the Magistrate may direct the officer in charge of the nearest police station to provide for police protection to the aggrieved person, or if the Magistrate considers it necessary, to the person making an application on behalf of the aggrieved person."
"Protection of Women from Domestic Violence Act,2005,Section no 12",Family,"(1) The Magistrate may in the order passed under sub-section (1) of section 18 direct the respondent to pay the monetary relief or any other relief, as the case may be, to the aggrieved person or to deposit the monetary"
"Hindu Adoption and Maintenance Act,1956,Section no 4",Family,"In this Act, unless the context otherwise requires, """"custom"""" and """"usage"""" signify any rule which, having been continuously and uniformly observed for a long time, has obtained the force of law among Hindus in any local area, tribe, community, group or family:"
"Hindu Adoption and Maintenance Act,1956,Section no 5",Family,"(1) No adoption shall be valid unless - (a) the person adopting has the capacity, and also the right, to take in adoption; (b) the person giving in adoption has the capacity to do so; and (c) the person adopted is capable of being taken in adoption."
"Hindu Adoption and Maintenance Act,1956,Section no 6",Family,Any male Hindu who is of sound mind and is not a minor has the capacity to take a son or a daughter in adoption:
"Hindu Adoption and Maintenance Act,1956,Section no 7",Family,Any female Hindu who is of sound mind and is not a minor has the capacity to take a son or a daughter in adoption:
"Hindu Adoption and Maintenance Act,1956,Section no 8",Family,"(1) If a person has the capacity to take in adoption, he or she may give a son or daughter in adoption:"
"Hindu Adoption and Maintenance Act,1956,Section no 9",Family,"No person shall be capable of being taken in adoption unless the following conditions are fulfilled, namely: (i) he or she is a Hindu;"
"Hindu Adoption and Maintenance Act,1956,Section no 10",Family,An adopted child shall be deemed to be the child of his or her adoptive father or mother for all purposes with effect from the date of the adoption and from such date all the ties of the child in the family of his or her birth shall be deemed to be severed and replaced by those created by the adoption in the adoptive family:
"Hindu Adoption and Maintenance Act,1956,Section no 11",Family,"In every adoption, the following conditions must be complied with: - (i) if any adoption is of a son, the adoptive father or mother by whom the adoption is made must not have a Hindu son, son's son, or son's son's son (whether by legitimate blood relationship or by adoption) living at the time of adoption."
"Hindu Succession Act,1956,Section No 4",Family,"(1) Save as otherwise expressly provided in this Act - (a) any text, rule or interpretation of Hindu law or any custom or usage as part of that law in force immediately before the commencement of this Act shall cease to have effect with respect to any matter for which provision is made in this Act;"
"Hindu Succession Act,1956,Section No 6",Family,"(1) On and from the commencement of the Hindu Succession (Amendment) Act, 2005, in a Joint Hindu family governed by the Mitakshara law, the daughter of a coparcener shall - (a) by birth become a coparcener in her own right in the same manner as the son;"
"Hindu Succession Act,1956,Section No 8",Family,"The property of a male Hindu dying intestate shall devolve according to the provisions of this Chapter - (a) firstly, upon the heirs, being the relatives specified in class I of the Schedule."
"Hindu Succession Act,1956,Section No 10",Family,"(1) Any property possessed by a female Hindu, whether acquired before or after the commencement of this Act, shall be held by her as full owner thereof and not as a limited owner."
"Hindu Succession Act,1956,Section No 13",Family,"(1) A person shall be disqualified from succeeding to any property, movable or immovable - (a) by reason of any forfeiture or by reason of his or her being a convert to another religion or a person no longer professing the Hindu religion."
"Hindu Succession Act,1956,Section No 14",Family,(1) The property of a Hindu dying intestate shall devolve upon his or her heirs of the nature and in the manner prescribed in the Schedule to this Act.
"Hindu Succession Act,1956,Section No 15",Family,"The property of a female Hindu dying intestate shall devolve according to the rules set out in section 16 - (a) firstly, upon the sons and daughters (including the children of any predeceased son or daughter) and the husband."
"Hindu Succession Act,1956,Section No 23",Family,"Where a Hindu intestate has left surviving him or her both male and female heirs specified in class I of the Schedule and his or her property includes a dwelling house wholly occupied by members of his or her family, then, notwithstanding anything contained in this Act, the right of any such female heir to claim partition of the dwelling house shall not arise until the male heirs choose to divide their respective shares therein."
"Indian Divorce Act,1869,Section No 10",Family,"The High Courts shall have jurisdiction to entertain suits under this Act and to grant divorces, whether absolute or limited, and to exercise all other powers and jurisdiction conferred on them by this Act."
"Indian Divorce Act,1869,Section No 13",Family,"Any husband or wife divorced under this Act may marry again, but not until the decree of divorce has become absolute, and not until after the expiration of six months from the date of such decree, or, in the case of an appeal, from the date of the decree of the appellate Court, as the case may be."
"Indian Divorce Act,1869,Section No 17",Family,"(1) The High Court may make rules consistent with this Act, - (a) for the guidance of officers in the issuing and registration of marriage licenses and certificates, and in the registration of divorces decreed by the High Court;"
"Indian Divorce Act,1869,Section No 18",Family,"Every decree for dissolution of marriage made by the High Court shall, when the same has become absolute, be filed in the Court in which the marriage was registered, and shall be registered therein in like manner as the marriage was registered, and the decree shall be recorded in the Marriage Register, and a certificate of such registration shall be granted by such officer to the person or persons by whom the fees payable for such registration have been paid."
"Indian Divorce Act,1869,Section No 20",Family,"When a decree absolute for dissolution of marriage has been made, the marriage shall be dissolved accordingly, and either party to the marriage may marry again."
"Indian Divorce Act,1869,Section No 21",Family,"In any suit or proceeding for obtaining a judicial separation or a decree of nullity of marriage or a decree of divorce, the court may, from time to time, pass such interim orders and make such provision in the decree as it may deem just and proper with respect to the custody, maintenance, and education of minor children."
"Indian Divorce Act,1869,Section No 36",Family,"In any suit under this Act, whether instituted by a husband or a wife, and whether or not she has obtained an order of protection, the wife may present a petition for expenses of the proceedings and alimony pending the suit"
"Guardians and Wards Act,1890,Section No 4",Family,"In this Act, unless there is anything repugnant in the subject or context, - (a) """"minor"""" means a person who, under the provisions of the Indian Majority Act, 1875 (9 of 1875);"
"Guardians and Wards Act,1890,Section No 7",Family,"(1) The court may, by order, appoint or declare any person as the guardian of a minor or his property or both, as the case may be."
"Guardians and Wards Act,1890,Section No 5",Family,"(1) If the Court is satisfied that it is for the welfare of a minor that an order should be made - (a) appointing a guardian of his person or property, or both; or (b) declaring a person to be such guardian;"
"Guardians and Wards Act,1890,Section No 6",Family,"The natural guardians of a Hindu minor, in respect of the minor's person as well as in respect of the minor's property (excluding his or her undivided interest in joint family property), are - (a) in the case of a boy or an unmarried girl - the father, and after him, the mother"
"Guardians and Wards Act,1890,Section No 8",Family,"(1) In appointing or declaring the guardian of a minor, the Court shall, subject to the provisions of this section, be guided by what, consistently with the law to which the minor is subject, appears in the circumstances to be for the welfare of the minor."
"Guardians and Wards Act,1890,Section No 9",Family,"(1) A guardian appointed by will or other instrument by a Hindu, Muhammadan or Buddhist, is a testamentary guardian."
"Guardians and Wards Act,1890,Section No 10",Family,"Subject to the provisions of this Act, and of any other enactment for the time being in force, a guardian of the person of a minor has the custody of the minor and must look to his support, health and education, and such other matters as the law to which the minor is subject requires."
"Guardians and Wards Act,1890,Section No 12",Family,(1) The jurisdiction of the court to entertain an application under this Act shall be determined by the place where the minor ordinarily resides.
"Guardians and Wards Act,1890,Section No 13",Family,"In the appointment or declaration of any person as guardian of a Hindu minor by a court, the welfare of the minor shall be the paramount consideration."
"Guardians and Wards Act,1890,Section No 11",Family,"(1) The Court may, if it is of opinion that it will be for the welfare of a minor to do so, appoint a guardian of his person or property, or both, to act jointly with a surviving guardian appointed by the minor's father."""
"Guardians and Wards Act,1890,Section No 17",Family,"In appointing or declaring the guardian of a minor, the Court shall be guided by what, consistently with the law to which the minor is subject, appears in the circumstances to be for the welfare of the minor."
"Guardians and Wards Act,1890,Section No 19",Family,Nothing in this Chapter shall authorize the Court to appoint or declare a guardian of the property of a minor whose property is under the superintendence of a Court of Wards or to appoint or declare a guardian of the person of a minor whose property is under such superintendence.
"Guardians and Wards Act,1890,Section No 15",Family,(1) A guardian appointed or declared by the court shall be subject to the control and supervision of the court.
"Guardians and Wards Act,1890,Section No 24",Family,"A guardian of the person of a ward is charged with the custody of the ward, and must look to his support, health and education, and such other matters as the law to which the ward is subject requires."
"Guardians and Wards Act,1890,Section No 27",Family,"A guardian of the property of a ward is bound to deal therewith as carefully as a man of ordinary prudence would deal with it if it were his own, and, subject to the provisions of this Chapter, he may do all acts which are reasonable and proper for the realization, protection or benefit of the property."
"Hindu Minority and Guardianship Act,1956,Section No 4",Family,"Save as otherwise expressly provided in this Act, - (a) any text, rule or interpretation of Hindu law or any custom or usage as part of that law in force immediately before the commencement of this Act shall cease to have effect with respect to any matter for which provision is made in this Act;"
"Hindu Minority and Guardianship Act,1956,Section No 5",Family,"The natural guardian of a Hindu minor, in respect of the minor's person as well as in respect of the minor's property (excluding his or her undivided interest in joint family property), are: (a) in the case of a boy or an unmarried girl - the father, and after him, the mother;"
"Hindu Minority and Guardianship Act,1956,Section No 7",Family,The natural guardianship of an adopted son who is a minor passes to the adoptive father and after him to the adoptive mother.
"Hindu Minority and Guardianship Act,1956,Section No 6",Family,"The guardianship of the property of a Hindu minor whose father is dead vests in the mother, and in the absence of the mother, in the father's mother, and after her, in the father's father."
"Hindu Minority and Guardianship Act,1956,Section No 8",Family,"The natural guardianship of an adopted son who is a minor passes, on adoption, to the adoptive father and after him to the adoptive mother."
"Hindu Minority and Guardianship Act,1956,Section No 9",Family,"(1) All property which a Hindu minor acquires or is born to, shall belong to the minor and no person shall have any right to dispose of, or deal with, the property except as provided by this Act."
"Hindu Minority and Guardianship Act,1956,Section No 11",Family,"After the commencement of this Act, no person shall be entitled to dispose of, or deal with, the property of a Hindu minor merely on the ground of his or her being the de facto guardian of the minor."
"Hindu Minority and Guardianship Act,1956,Section No 13",Family,"In the appointment or declaration of any person as guardian of a Hindu minor by a court, the welfare of the minor shall be the paramount consideration."
"Hindu Minority and Guardianship Act,1956,Section No 10",Family,No such transaction shall be voidable merely because it was entered into by the guardian on behalf of the minor.
"Muslim Women (Protection of Rights on Divorce) Act,1986,Section No 3",Family,"Not withstanding anything contained in any other law for the time being in force, a divorced woman shall be entitled to - (a) a reasonable and fair provision and maintenance to be made and paid to her within the iddat period by her former husband;"
"Muslim Women (Protection of Rights on Divorce) Act,1986,Section No 4",Family,"With the above sections in mind, if the Magistrate is satisfied that a divorced woman has not re-married and is unable to maintain herself after the iddat period, he may order her former husband to pay her maintenance"
"Christian Marriage Act, 1872,Section 4",Family,"(1) This Act extends to the whole of India except the territories which, immediately before the 1st November, 1956, were comprised in Part B States, and applies also to citizens of India wherever they may be."
"Christian Marriage Act, 1872,Section 5",Family,"(1) Marriages may be solemnized in India - (a) by any person who has received episcopal ordination, provided that the marriage be solemnized according to the rules, rites, ceremonies and customs of the Church of which he is a Minister;"
"Christian Marriage Act, 1872,Section 6",Family,"(1) The State Government may, by notification in the Official Gazette, grant licences to Ministers of the Christian religion to solemnize marriages under this Act."
"Christian Marriage Act, 1872,Section 7",Family,(1) No marriage shall be valid if either of the parties thereto has a wife or husband living at the time of the marriage;
"Christian Marriage Act, 1872,Section 8",Family,(1) No marriage shall be valid if the male has not completed the age of twenty-one years and the female the age of eighteen years at the time of the marriage.
"Christian Marriage Act, 1872,Section 10",Family,"(1) The father, if living, of any minor, or, if the father be dead, the guardian of the person of such minor, and, in case there be no such guardian, the mother of such minor, may give consent to the minor's marriage."
"Parsi Marriage and Divorce Act, 1936,Section 3",Family,No marriage shall be valid if - (a) the contracting parties are related to each other in any of the degrees of consanguinity or affinity set forth in Schedule I;
"Parsi Marriage and Divorce Act, 1936,Section 4",Family,A Parsi marriage shall not be valid unless - (a) it is solemnized according to the Parsi form of ceremony called 'Ashirvad' by a priest in the presence of two Parsi witnesses other than such priest;
"Parsi Marriage and Divorce Act, 1936,Section 5",Family,"No marriage shall be valid if either party to it is a minor, that is to say, if the male has not completed twenty-one years of age and the female has not completed eighteen years of age."
"Parsi Marriage and Divorce Act, 1936,Section 6",Family,"(1) Every marriage contracted under this Act shall, immediately on the solemnization thereof, be certified by the officiating priest in a prescribed form."
"Parsi Marriage and Divorce Act, 1936,Section 8",Family,"Whoever knowingly solemnizes a marriage contrary to any provision of this Act shall be punishable with simple imprisonment for a term which may extend to six months, or with fine which may extend to two hundred rupees, or with both."
"Parsi Marriage and Divorce Act, 1936,Section 11",Family,(1) Every marriage contracted under this Act shall be registered in accordance with the provisions of this section.
"Parsi Marriage and Divorce Act, 1936,Section 30",Family,Any married person may sue for divorce on one or more of the following grounds: - (a) that the marriage has not been consummated within one year after its solemnization owing to the willful refusal of the defendant to consummate it.
"Parsi Marriage and Divorce Act, 1936,Section 39",Family,"In any suit under this Act, the court may make such interim orders and such provision in the final decree as it may deem just and proper with respect to the custody, maintenance, and education of minor children."
"Parsi Marriage and Divorce Act, 1936,Section 49",Family,"In any suit under this Act, whether instituted by a husband or a wife, the wife may present a petition for expenses of the proceedings and alimony pending the suit."
"Parsi Marriage and Divorce Act, 1936,Section 19",Family,A suit for divorce may be filed by either party to the marriage on the ground that the defendant - (a) has since the solemnization of the marriage committed adultery or fornication or bigamy or rape or an unnatural offence
"Domestic Violence Act, 2005,Section 3",Family,"For the purposes of this Act, any act, omission or commission or conduct of the respondent shall constitute domestic violence in case it - (a) harms or injures or endangers the health, safety, life, limb or well-being, whether mental or physical, of the aggrieved person or tends to do so and includes causing physical abuse, sexual abuse, verbal and emotional abuse and economic abuse;"
"Domestic Violence Act, 2005,Section 5",Family,"A police officer, Protection Officer, service provider or Magistrate who has received a complaint of domestic violence or is otherwise present at the place of an incident of domestic violence or when the incident of domestic violence is reported to him, shall inform the aggrieved person - (a) of her right to make an application for obtaining a relief by way of a protection order, an order for monetary relief, a custody order, a residence order, a compensation order or more than one such order under this Act;"
"Domestic Violence Act, 2005,Section 12",Family,An aggrieved person or a Protection Officer or any other person on behalf of the aggrieved person may present an application to the Magistrate seeking one or more reliefs under this Act:
"Domestic Violence Act, 2005,Section 18",Family,"The Magistrate may, after giving the aggrieved person and the respondent an opportunity of being heard and on being prima facie satisfied that domestic violence has taken place or is likely to take place, pass a protection order in favour of the aggrieved person and prohibit the respondent from - (a) committing any act of domestic violence;"
"Domestic Violence Act, 2005,Section 19",Family,"(1) While disposing of an application under sub-section (1) of section 12, the Magistrate may, on being satisfied that domestic violence has taken place, pass a residence order - (a) restraining the respondent from dispossessing or in any other manner disturbing the possession of the aggrieved person from the shared household;"
"Domestic Violence Act, 2005,Section 20",Family,"(1) While disposing of an application under sub-section (1) of section 12, the Magistrate may direct the respondent to pay monetary relief to meet the expenses incurred and losses suffered by the aggrieved person and any child of the aggrieved person as a result of the domestic violence and such relief may include, but not limited to - (a) the loss of earnings; (b) the medical expenses; (c) the loss caused due to the destruction, damage or removal of any property from the control of the aggrieved person; and (d) the maintenance for the aggrieved person as well as her children, if any, including an order under or in addition to an order of maintenance under section 125 of the Code of Criminal Procedure, 1973 (2 of 1974) or any other law for the time being in force."
"Protection of Children from Sexual Offences (POCSO) Act, 2012,Section 2",Family,"(1) In this Act, unless the context otherwise requires, - (d) 'child' means any person below the age of eighteen years;"
"Protection of Children from Sexual Offences (POCSO) Act, 2012,Section 3",Family,"A person is said to commit 'penetrative sexual assault' if - (a) he penetrates his penis, to any extent, into the vagina, mouth, urethra or anus of a child or makes the child to do so with him or any other person;"
"Protection of Children from Sexual Offences (POCSO) Act, 2012,Section 5",Family,"(1) Whoever, being a police officer, commits penetrative sexual assault on a child - (a) within the limits of the police station or premises where he is appointed; or (b) in the premises of any station house, whether or not situated in the police station to which he is appointed; or (c) in the course of his official duties; or (d) where he is known as a police officer;"
"Protection of Children from Sexual Offences (POCSO) Act, 2012,Section 7",Family,"Whoever, with sexual intent touches the vagina, penis, anus or breast of the child or makes the child touch the vagina, penis, anus or breast of such person or any other person, or does any other act with sexual intent which involves physical contact without penetration is said to commit sexual assault."
"Protection of Children from Sexual Offences (POCSO) Act, 2012,Section 9",Family,"(1) Whoever, being a police officer, commits sexual assault on a child - (a) within the limits of the police station or premises where he is appointed; or (b) in the premises of any station house, whether or not situated in the police station to which he is appointed; or (c) in the course of his official duties; or (d) where he is known as a police officer;"
"Protection of Children from Sexual Offences (POCSO) Act, 2012,Section 11",Family,"A person is said to commit sexual harassment upon a child when such person with sexual intent, - (i) utters any word or makes any sound, or makes any gesture or exhibits any object or part of body with the intention that such word or sound shall be heard, or such gesture or object or part of body shall be seen by the child"
"Protection of Children from Sexual Offences (POCSO) Act, 2012,Section 19",Family,"(1) Not withstanding anything contained in the Code of Criminal Procedure, 1973 (2 of 1974), any person (including the child), who has apprehension that an offence under this Act is likely to be committed or has knowledge that such an offence has been committed, shall provide such information to - (a) the Special Juvenile Police Unit; or (b) the local police."
"Protection of Children from Sexual Offences (POCSO) Act, 2012,Section 21",Family,"(1) Any person, who fails to report the commission of an offence under sub-section (1) of section 19 or section 20 or who fails to record such offence under sub-section (2) of section 19 shall be punished with imprisonment of either description which may extend to six months or with fine or with both."
"Protection of Children from Sexual Offences (POCSO) Act, 2012,Section 23",Family,"(1) No person shall make any report or present comments on any child from any form of media or studio or photographic facilities without having complete and authentic information, which may have the effect of lowering his reputation or infringing upon his privacy."
"The Family Courts Act, 1984,Section 3",Family,"For the purpose of exercising the jurisdiction and powers conferred on a Family Court by this Act, the State Government after consultation with the High Court, and by notification - (a) shall, as soon as it may deem necessary, establish for every area in the State comprising a city or town whose population exceeds one million, a Family Court."
"The Family Courts Act, 1984,Section 7",Family,"(1) Subject to the other provisions of this Act, a Family Court shall - (a) have and exercise all the jurisdiction exercisable by any district court or any subordinate civil court under any law for the time being in force in respect of suits and proceedings of the nature referred to in the Explanation; and (b) be deemed, for the purposes of exercising such jurisdiction under such law, to be a district court or, as the case may be, such subordinate civil court for the area to which the jurisdiction of the Family Court extends."
"The Family Courts Act, 1984,Section 9",Family,"In every suit or proceeding, endeavour shall be made by the Family Court in the first instance, where it is possible to do so consistent with the nature and circumstances of the case, to assist and persuade the parties in arriving at a settlement in respect of the subject-matter of the suit or proceeding."
"The Family Courts Act, 1984,Section 10",Family,"In the trial of a suit or proceeding under this Act, the Family Court shall be deemed to be a civil court and shall follow the procedure laid down in the Code of Civil Procedure, 1908."
"The Family Courts Act, 1984,Section 13",Family,"No party to a suit or proceeding before a Family Court shall be entitled, as of right, to be represented by a legal practitioner."
"The Maintenance and Welfare of Parents and Senior Citizens Act, 2007, Section 4",Family,"(1) A senior citizen including parent who is unable to maintain himself from his own earning or out of the property owned by him, shall be entitled to make an application under section 5 in case of - (i) parent or grand-parent, against one or more of his children not being a minor."
"The Maintenance and Welfare of Parents and Senior Citizens Act, 2007, Section 5",Family,"An application for maintenance under section 4, may be made - (a) by a senior citizen or a parent, as the case may be; or (b) if he is incapable, by any other person or organization authorized by him; or (c) the Tribunal may take cognizance suo motu."
"The Maintenance and Welfare of Parents and Senior Citizens Act, 2007, Section 9",Family,"If children or relatives neglect or refuse to maintain a senior citizen, the Tribunal shall make an order for the maintenance of a senior citizen on being satisfied of such neglect or refusal."
"The Maintenance and Welfare of Parents and Senior Citizens Act, 2007, Section 19",Family,"The State Government may establish and maintain such number of old age homes at accessible places, as it may deem necessary, in a phased manner, beginning with at least one in each district."
"Juvenile Justice (Care and Protection of Children) Act, 2015, Section 2(14)",Family,A child in need of care and protection means a child - (i) who is found without any home or settled place of abode and without any ostensible means of subsistence.
"Juvenile Justice (Care and Protection of Children) Act, 2015, Section 4",Family,The State Government shall constitute for every district one or more Juvenile Justice Boards for exercising the powers and discharging the duties conferred on such Boards in relation to juveniles in conflict with law under this Act.
"Juvenile Justice (Care and Protection of Children) Act, 2015, Section 27",Family,"The State Government shall constitute for every district, one or more Child Welfare Committees for exercising the powers and discharging the duties conferred on such Committees in relation to children in need of care and protection under this Act."
"Juvenile Justice (Care and Protection of Children) Act, 2015, Section 37",Family,The primary responsibility of executing the rehabilitation and social reintegration of a child shall be of the State Child Protection Society.
"Juvenile Justice (Care and Protection of Children) Act, 2015, Section 39",Family,"The process of rehabilitation and social reintegration of children shall be undertaken based on the individual care plans for the children, preferably through family-based care such as by restoration to family or guardian with or without supervision or sponsorship or adoption or foster care."
"The Child Marriage Restraint Act, 1929,Section 3",Family,"Whoever, being a male above eighteen years of age and below twenty-one, contracts a child marriage shall be punished with simple imprisonment which may extend to fifteen days, or with a fine which may extend to one thousand rupees, or with both."
"The Child Marriage Restraint Act, 1929,Section 4",Family,"Whoever, being a male above twenty-one years of age, contracts a child marriage shall be punished with simple imprisonment which may extend to three months and shall also be liable to fine."
"The Child Marriage Restraint Act, 1929,Section 5",Family,"Whoever performs, conducts or directs any child marriage shall be punishable with simple imprisonment which may extend to three months and shall also be liable to fine, unless he proves that he had reason to believe that the marriage was not a child marriage."
"The Child Marriage Restraint Act, 1929,Section 6",Family,"Where a minor contracts a child marriage, any parent or guardian or any other person having charge of the minor, or any person doing any act to promote the marriage, or permit it to be solemnized, or negligently fails to prevent it from being solemnized, shall be punishable with simple imprisonment which may extend to three months and shall also be liable to fine."
"The Prohibition of Child Marriage Act, 2006,Section 3",Family,"Every child marriage, whether solemnized before or after the commencement of this Act, shall be voidable at the option of the contracting party who was a child at the time of the marriage."
"The Prohibition of Child Marriage Act, 2006,Section 9",Family,"Whoever, being a male adult above eighteen years of age, contracts a child marriage shall be punishable with rigorous imprisonment which may extend to two years or with fine which may extend to one lakh rupees or with both."
"The Prohibition of Child Marriage Act, 2006,Section 11",Family,"Whoever, being a male adult above eighteen years of age, contracts a child marriage shall be punishable with rigorous imprisonment which may extend to two years or with fine which may extend to one lakh rupees or with both."
"Constitution of India, Article 25",Religious,"Guarantees all individuals the right to freely profess, practice, and propagate their religion, subject to public order, morality, and health."
"Constitution of India, Article 26",Religious,"Grants every religious denomination or any section thereof the right to establish and maintain institutions for religious and charitable purposes, manage its own affairs in matters of religion, own and acquire movable and immovable property, and administer such property in accordance with law."
"Constitution of India, Article 27",Religious,": Prohibits the imposition of any tax, the proceeds of which are specifically appropriated for the payment of expenses for the promotion or maintenance of any particular religion or religious denomination."
"Constitution of India, Article 28",Religious,Ensures that no religious instruction is provided in any educational institution wholly maintained out of state funds. It also lays down conditions under which religious instruction can be imparted in state-recognized or state-aided educational institutions.
"Indian Penal Code, 1860 (IPC),Section 295A",Religious,Provides for punishment of deliberate and malicious acts intended to outrage religious feelings of any class by insulting its religion or religious beliefs.
"Indian Penal Code, 1860 (IPC),Section 295",Religious,"Punishes anyone who destroys, damages, or defiles any place of worship or any object held sacred with the intention of insulting the religion of any class of persons."
"Indian Penal Code, 1860 (IPC),Section 296",Religious,Punishes anyone who voluntarily causes disturbance to any assembly lawfully engaged in the performance of religious worship or religious ceremonies.
"Indian Penal Code, 1860 (IPC),Section 297",Religious,"Punishes anyone who commits trespass in any place of worship or on any place of sepulture or any place set apart for the performance of funeral rites, or offers any indignity to any human corpse."
"Indian Penal Code, 1860 (IPC),Section 298",Religious,"Punishes anyone who, with the deliberate intention of wounding the religious feelings of any person, utters any word or makes any sound in the hearing of that person or makes any gesture in the sight of that person."
"The Protection of Civil Rights Act, 1955,Section 3",Religious,"This section imposes penalties on individuals who enforce religious disabilities on others, specifically in terms of denying access to public places such as parks, wells, temples, and roads. The aim is to prevent discrimination based on religion and ensure equal access to public facilities for all citizens."
"The Protection of Civil Rights Act, 1955,Section 4",Religious,"This section provides for the punishment of any person or authority who denies individuals admission to hospitals, educational institutions, or other public places based on their religion. It ensures that no person is refused services or entry to public establishments due to their religious beliefs."
"The Protection of Civil Rights Act, 1955,Section 5",Religious,This section targets discriminatory practices in commerce and services. It punishes individuals or businesses that refuse to sell goods or provide services to people based on their religion. The provision is designed to promote equality in economic transactions and services.
"The Juvenile Justice (Care and Protection of Children) Act, 2015,Section 42",Religious,"This section prohibits any form of religious conversion of children who are under the care and protection of the state or any organization. The law ensures that children are not subjected to religious conversions by individuals or organizations, protecting their right to freedom of religion until they are of an age to make such decisions independently."
"The Juvenile Justice (Care and Protection of Children) Act, 2015,Section 74",Religious,"This section prohibits the disclosure of the identity of children involved in proceedings under the act, including their religious identity. The purpose is to protect the privacy and dignity of the child, ensuring that their personal information is not misused or made public."
"The Waqf Act, 1995,Section 4",Religious,"This section mandates a comprehensive survey of all Waqf properties and institutions. The survey aims to compile a detailed report on the status, condition, and extent of Waqf properties, ensuring transparency and proper management."
"The Waqf Act, 1995,Section 32",Religious,"This section outlines the powers and responsibilities of the Waqf Board, including the administration, management, and supervision of Waqf properties. The board is empowered to take necessary actions to ensure that Waqf properties are utilized according to the objectives of the endowment."
"The Waqf Act, 1995,Section 85",Religious,"This section establishes tribunals specifically for adjudicating disputes related to Waqfs. These tribunals provide a legal forum for resolving conflicts and issues concerning Waqf properties, ensuring that disputes are handled efficiently and justly."
"The Hindu Marriage Act, 1955,Section 5",Religious,"This section specifies the essential conditions for a valid Hindu marriage, including age requirements (the bride must be at least 18 and the groom at least 21), mutual consent, and the absence of certain prohibited relationships. These conditions ensure that the marriage is legally recognized and socially acceptable."
"The Hindu Marriage Act, 1955,Section 13",Religious,"This section provides the grounds on which a Hindu marriage can be dissolved through divorce. Grounds include adultery, cruelty, desertion, conversion to another religion, mental disorder, and communicable diseases. The provision ensures that individuals in untenable marriages have legal recourse to end their marriage."
"The Hindu Marriage Act, 1955,Section 22",Religious,This section allows either spouse to claim maintenance (financial support) and litigation expenses during the pendency of divorce proceedings. This ensures that a spouse without sufficient means is not disadvantaged during the legal process.
